anio,nivel,circuito_id_crudo,circuito_id_canonico
2019,presidente,00505A,505A
2019,presidente,00505B,505B
2019,presidente,000508,508
2019,presidente,00508A,508A
2019,presidente,00508B,508B
2019,presidente,00508C,508C
2019,presidente,00508D,508D
2019,presidente,00508E,508E
2019,presidente,00508F,508F
2019,presidente,00508G,508G
2019,presidente,000509,509
2019,presidente,00509A,509A
2019,presidente,000516,516
2019,presidente,000517,517
2019,presidente,000518,518
2019,presidente,000519,519
2019,presidente,000520,520
2019,presidente,000521,521
2021,municipal,00460,460
2021,municipal,00461,461
2021,municipal,00462,462
2021,municipal,00463,463
2021,municipal,00464,464
2021,municipal,00465,465
2021,municipal,00466,466
2021,municipal,00467,467
2021,municipal,00468,468
2021,municipal,00469,469
2021,municipal,00471,471
2021,municipal,00472,472
2021,municipal,00473,473
2021,municipal,00474,474
2021,municipal,00475,475
2021,municipal,00476,476
2021,municipal,00477,477
2021,municipal,00480,480
2021,municipal,00481,481
2021,municipal,00482,482
2021,municipal,00483,483
2021,municipal,00484,484
2021,municipal,00485,485
2021,municipal,00486,486
2021,municipal,00487,487
2021,municipal,00488,488
2021,municipal,00493,493
2021,municipal,00495,495
2021,municipal,00496,496
2021,municipal,0496A,496A
2021,municipal,0496B,496B
2021,municipal,0496C,496C
2021,municipal,0496D,496D
2021,municipal,0496E,496E
2021,municipal,0496F,496F
2021,municipal,00497,497
2021,municipal,0497A,497A
2021,municipal,0497B,497B
2021,municipal,0497C,497C
2021,municipal,0497D,497D
2021,municipal,0497E,497E
2021,municipal,0497F,497F
2021,municipal,00498,498
2021,municipal,00501,501
2021,municipal,00502,502
2021,municipal,00503,503
2021,municipal,0503A,503A
2021,municipal,00504,504
2021,municipal,0504A,504A
2021,municipal,0504C,504C
2021,municipal,00505,505
2021,municipal,0505A,505A
